date,Label
2023-06-01,1
2023-06-02,0
2023-06-05,1
2023-06-06,0
2023-06-07,1
2023-06-08,1
2023-06-09,1
2023-06-12,1
2023-06-13,1
2023-06-14,1
2023-06-15,0
2023-06-16,0
2023-06-20,0
2023-06-21,1
2023-06-22,0
2023-06-23,0
2023-06-26,1
2023-06-27,0
2023-06-28,1
